type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters,name
SHOW,2001,47,5.0,7.6,1155.0,2.189,7.8,BE,2,reality,-1,the mole
SHOW,2010,44,7.0,8.3,4880.0,10.243,7.0,AU,1,drama,14,offspring
SHOW,2006,24,3.0,8.7,62367.0,35.011,8.493,JP,1,scifi,11,code geass: lelouch of the rebellion
SHOW,2007,24,1.0,8.3,17024.0,27.924,8.2,JP,1,action,7,gurren lagann
SHOW,2008,141,1.0,7.6,19812.0,9.68,7.3,GB,1,scifi,23,dead set
SHOW,2004,23,8.0,6.2,6700.0,25.633,8.222,IT,1,animation,-1,winx club
SHOW,2010,15,7.0,7.6,1083.0,40.327,7.4,GB,1,action,22,octonauts
SHOW,2003,21,3.0,6.2,4709.0,37.945,7.5,JP,1,family,-1,sonic x
SHOW,2006,25,3.0,7.2,15179.0,30.832,7.8,AU,1,scifi,24,h2o: just add water
SHOW,2002,29,9.0,8.9,7689.0,5.128,8.3,GB,1,comedy,0,still game
SHOW,2008,25,3.0,8.2,1877.0,36.122,7.5,JP,1,scifi,11,black butler
SHOW,2004,44,4.0,7.3,45249.0,37.169,7.2,US,1,drama,13,the 4400
SHOW,2003,23,4.0,7.0,13.0,31.584,6.9,US,1,animation,25,strawberry shortcake
SHOW,2007,7,6.0,8.1,28.0,31.375,7.9,GB,1,animation,3,shaun the sheep
SHOW,2008,30,2.0,8.0,14828.0,24.352,8.5,JP,1,animation,8,toradora!
SHOW,2009,25,4.0,6.3,12288.0,55.706,8.774,US,1,family,4,big time rush
SHOW,2009,27,5.0,8.6,2256.0,7.356,7.9,JP,1,drama,9,midnight diner
SHOW,2005,11,4.0,3.9,93.0,27.339,7.1,GB,2,animation,3,pocoyo
SHOW,2007,23,6.0,7.3,10886.0,16.655,7.3,CA,1,war,-1,total drama island
SHOW,2002,24,4.0,8.3,4261.0,3.926,6.6,AU,1,comedy,26,kath & kim
SHOW,2006,23,1.0,8.2,9929.0,18.186,8.4,JP,1,comedy,27,ouran high school host club
SHOW,2009,7,5.0,7.5,3169.0,38.171,6.9,RU,1,family,-1,masha and the bear
SHOW,2010,36,2.0,7.8,1291.0,10.936,7.9,JP,1,scifi,11,mobile suit gundam unicorn
SHOW,2008,22,3.0,8.1,1497.0,19.736,8.9,FR,1,action,28,wakfu
SHOW,2008,25,2.0,7.3,5245.0,17.547,8.4,JP,1,animation,8,vampire knight
SHOW,2009,64,1.0,7.9,11902.0,80.384,8.28,KR,1,comedy,29,boys over flowers
SHOW,2009,17,5.0,5.4,2578.0,25.677,5.2,US,1,animation,25,the garfield show
SHOW,2009,14,3.0,7.4,1261.0,11.735,6.6,GB,1,animation,3,ben & holly's little kingdom
SHOW,2003,24,5.0,7.3,5165.0,9.597,7.7,FR,1,action,28,code lyoko
SHOW,2010,24,1.0,6.5,346.0,5.014,8.8,US,1,comedy,1,dreamworks shrek's swamp stories
SHOW,2006,22,10.0,6.6,4449.0,12.124,8.4,US,1,drama,13,the game
SHOW,2009,55,1.0,8.1,1768.0,2.422,7.9,US,1,comedy,1,monty python: almost the truth (the lawyer's cut)
SHOW,2003,9,7.0,6.3,91.0,4.404,5.0,KR,1,scifi,30,pororo the little penguin
SHOW,2008,45,1.0,7.0,1422.0,21.479,6.0,CN,1,action,31,the legend of bruce lee
SHOW,2007,25,1.0,7.8,881.0,13.045,7.9,JP,1,scifi,11,den-noh coil
SHOW,2010,9,3.0,6.8,671.0,19.476,5.8,FR,1,comedy,17,zig and sharko
SHOW,2005,18,6.0,5.1,8322.0,22.516,5.6,CA,2,animation,12,johnny test
SHOW,2007,22,4.0,4.2,123.0,1.52,6.0,CA,1,animation,12,bo on the go!
SHOW,2002,21,4.0,7.0,1860.0,8.06,8.1,US,1,comedy,1,half & half
SHOW,2007,20,2.0,5.6,737.0,28.909,8.2,JP,1,action,7,dinosaur king
SHOW,2001,48,1.0,7.5,325.0,32.626,7.8,CO,1,drama,32,el escamoso
SHOW,2006,13,5.0,6.3,944.0,2.36,8.0,GB,1,animation,3,horrid henry
SHOW,2009,43,2.0,6.6,293.0,27.667,7.4,CO,1,drama,32,the mafia dolls
SHOW,2006,73,1.0,8.8,1051.0,1.41,8.8,AR,2,drama,16,vientos de agua
SHOW,2009,14,3.0,6.9,1111.0,14.959,6.2,GB,1,animation,3,timmy time
SHOW,2009,61,2.0,7.8,1951.0,9.239,7.6,KR,1,action,33,iris
SHOW,2010,11,6.0,5.3,158.0,4.871,6.3,KR,1,animation,34,tayo the little bus
SHOW,2001,20,5.0,7.0,2323.0,6.204,7.9,US,1,comedy,1,one on one
SHOW,2004,3,2.0,6.3,122.0,1.841,7.2,FR,1,animation,15,trotro
SHOW,2010,9,1.0,7.4,586.0,4.963,7.4,FR,1,animation,15,oscar's oasis
SHOW,2005,49,1.0,7.1,61.0,0.6,7.0,US,1,documentation,35,cocaine
SHOW,2008,44,2.0,8.0,774.0,189.665,7.5,CO,1,action,-1,the cartel
SHOW,2007,44,1.0,7.1,211.0,13.94,7.8,CO,1,comedy,-1,nuevo rico nuevo pobre
SHOW,2006,56,1.0,7.9,441.0,0.6,8.0,US,2,comedy,1,monty python's personal best
SHOW,2008,22,12.0,4.1,885.0,1.504,6.1,IN,1,animation,-1,chhota bheem
SHOW,2008,67,1.0,7.4,476.0,4.692,7.2,TW,1,comedy,36,fated to love you
SHOW,2009,44,1.0,7.6,622.0,1.649,7.3,FR,1,documentation,37,einsatzgruppen: the nazi death squads
SHOW,2010,59,1.0,6.8,95.0,3.995,4.8,TW,1,drama,38,the fierce wife
SHOW,2006,48,1.0,7.4,46.0,5.066,2.2,TW,1,drama,38,the hospital
SHOW,2009,58,1.0,7.8,495.0,7.776,7.6,TW,1,drama,38,autumn's concerto
SHOW,2007,0,1.0,5.8,52.0,0.682,10.0,MX,1,drama,39,pink zone
SHOW,2009,37,3.0,7.6,312.0,3.208,8.9,TW,1,action,-1,black & white
SHOW,2005,44,1.0,6.7,136.0,1.613,5.8,TW,1,drama,38,the prince who turns into a frog
SHOW,2011,54,11.0,8.6,234232.0,252.934,8.112,US,1,drama,13,shameless
SHOW,2012,24,5.0,7.8,10809.0,48.881,8.3,US,1,animation,25,teenage mutant ninja turtles
SHOW,2011,21,7.0,7.7,219079.0,72.923,7.3,US,1,comedy,1,new girl
SHOW,2012,55,11.0,8.5,26146.0,25.211,7.4,GB,1,family,40,call the midwife
SHOW,2011,59,5.0,8.8,526383.0,90.552,8.3,GB,1,drama,41,black mirror
SHOW,2012,53,6.0,8.3,35021.0,36.854,7.8,US,1,drama,13,longmire
SHOW,2011,23,3.0,9.0,92162.0,178.265,8.8,JP,1,action,7,hunter x hunter
SHOW,2012,42,13.0,7.4,3998.0,13.078,7.9,US,1,reality,5,ink master
SHOW,2012,58,5.0,8.3,7017.0,3.392,7.3,GB,1,drama,41,last tango in halifax
SHOW,2012,24,5.0,8.4,21354.0,64.047,8.8,JP,1,scifi,11,jojo's bizarre adventure
SHOW,2012,42,8.0,7.5,427871.0,122.099,6.7,US,1,action,10,arrow
SHOW,2012,17,16.0,7.3,4798.0,67.932,7.8,DK,2,animation,-1,ninjago: masters of spinjitzu
SHOW,2012,23,4.0,7.6,44606.0,58.325,8.284,JP,1,scifi,11,sword art online
SHOW,2012,23,4.0,8.4,119272.0,56.153,8.307,US,1,animation,25,the legend of korra
SHOW,2011,51,3.0,7.9,51041.0,18.887,7.6,HU,3,drama,-1,the borgias
SHOW,2012,19,11.0,8.0,12522.0,13.067,7.1,US,1,comedy,1,comedians in cars getting coffee
SHOW,2011,48,2.0,8.4,24165.0,14.536,7.4,GB,1,drama,41,top boy
SHOW,2012,22,4.0,6.4,925.0,9.697,8.2,US,1,scifi,2,transformers: rescue bots
SHOW,2012,45,3.0,7.9,29366.0,15.363,7.4,NO,1,comedy,-1,lilyhammer
SHOW,2011,41,11.0,4.5,28.0,11.811,6.6,US,1,reality,5,teen mom 2
SHOW,2011,25,2.0,7.5,12985.0,46.557,8.1,JP,1,scifi,11,blue exorcist
SHOW,2012,22,10.0,7.5,1486.0,7.81,9.0,US,1,documentation,35,meateater
SHOW,2012,27,5.0,5.9,20.0,13.25,6.9,GB,1,comedy,0,cuckoo
SHOW,2012,40,5.0,8.1,8718.0,11.299,7.7,DK,1,comedy,-1,rita
SHOW,2011,2,5.0,7.1,615.0,9.644,7.4,KR,1,comedy,29,larva
SHOW,2011,22,2.0,6.9,4454.0,25.428,8.3,CA,2,scifi,6,my babysitter's a vampire
